n path1 path2 path3
1 1.21489831903 6.5429638151 10.4468962795
2 2.33834322359 7.94960465567 6.45782450487
3 2.14249234178 6.48170727115 7.22859206483
4 2.39095408138 6.4720579243 5.8382842113
5 2.17166843883 6.57668680733 5.26111021955
6 4.51376933535 6.07733548102 4.45269170426
7 5.53048174359 5.40942415433 4.87252175215
8 6.54782342494 4.79748502318 5.03098711399
9 5.9539964186 4.42695522401 4.78635007192
10 5.36653407558 4.12164946689 5.05316466213
11 5.80924573721 4.49472258613 4.85979188326
12 5.95069878155 4.27134585541 5.04364678214
13 5.62841669195 4.27254103193 5.78068276725
14 5.51307803537 4.4192487474 5.5571439651
15 5.21663328383 4.1534798507 5.40232408763
16 5.25542575164 4.03784996034 5.15187428355
17 5.02630368068 3.83595549516 5.44025830597
18 4.8918709123 3.64605521934 5.64297794677
19 4.64219682071 3.55020016404 5.93407425034
20 4.41723884792 3.62518996668 5.92462077413
21 4.95813120773 3.61150171425 6.16660353244
22 4.79849655416 3.51938764577 5.92846542091
23 5.16195474603 3.4240161128 5.90820138805
24 5.14383868897 3.46008175616 6.33252026741
25 5.34047877464 3.44885144389 6.16910932814
26 5.57061888842 3.47632086224 5.95938317294
27 5.46770926307 3.42250995281 6.00569268976
28 5.34225858914 3.30181245283 6.46439276995
29 5.27429937101 3.30563780964 6.26523014128
30 5.11654545169 3.33029719201 6.3587634616
31 5.26679527929 3.32876204668 6.22653510782
32 5.1213871442 3.29966139957 6.53441732325
33 4.98003132703 3.2674075404 6.3604441246
34 4.91343326871 3.39100969434 6.35227688865
35 4.91276921847 3.34639838565 6.2733139468
36 4.78472826352 3.30206168891 6.16455021266
37 4.87354317322 3.31706911562 6.0228604992
38 5.2939114069 3.38265546071 5.91064820995
39 5.23377939744 3.38413745294 6.08852232989
40 5.20881477582 3.76195077339 6.14753093752
41 5.3354331294 3.77379940782 6.02957902002
42 5.31619382112 3.95972746447 5.92156942445
43 5.23750346498 4.10807830154 5.810506747
44 5.32080304199 4.08941800264 5.77092572813
45 5.25912969369 4.1697053467 5.73377515439
46 5.18022855997 4.09978367888 5.99288966144
47 5.10228308989 4.12223409943 5.96619325662
48 5.06721791111 4.07400790213 6.12054270813
49 5.04959252039 4.02721873088 6.14451402942
50 4.97589879235 4.31973823418 6.06420100597
51 4.89326885703 4.38584769322 5.95938504191
52 4.92273131751 4.36255949241 5.91409800687
53 4.91362565578 4.34007226136 5.92369719463
54 4.83836548494 4.29853039282 5.90082655973
55 4.77592587516 4.25794343349 5.92391857197
56 4.74654610867 4.24099467957 5.88331210223
57 4.73888444325 4.23635489428 5.78984137362
58 4.75676284939 4.21230933306 5.78561969746
59 4.79731828005 4.17460742463 5.79652608962
60 4.73729206331 4.25430538324 5.72873289594
61 4.67703114829 4.19225345956 5.84390479647
62 4.85935002958 4.12534555006 5.76239190838
63 4.79707534553 4.20528416227 5.70929139804
64 4.75809738944 4.46194585127 5.63082528294
65 4.70404091144 4.43614175894 5.633485442
66 4.7533964873 4.45710343444 5.59478768816
